,logFC,PValue,FDR
CLPTM1L,-0.045,0.54,0.94
COPG2,-0.061,0.54,0.94
CYB5D1,-0.068,0.54,0.94
CYP4F3,-0.063,0.54,0.94
DENND4B,-0.079,0.54,0.94
DRG1,-0.062,0.54,0.94
DRP2,-0.37,0.54,0.94
E2F3,-0.074,0.54,0.94
EIF2AK2,0.081,0.54,0.94
EVA1A,-0.15,0.54,0.94
F8A1,0.12,0.54,0.94
FAM228B,0.13,0.54,0.94
FAM3A,0.07,0.54,0.94
GAS2,0.27,0.54,0.94
GLI2,0.1,0.54,0.94
GSTM4,-0.12,0.54,0.94
HCN2,0.18,0.54,0.94
HINFP,0.086,0.54,0.94
HMG20B,0.093,0.54,0.94
HMGCLL1,-0.3,0.54,0.94
HOXD8,0.13,0.54,0.94
IDO1,-0.36,0.54,0.94
IFT81,-0.079,0.54,0.94
IL15RA,-0.29,0.54,0.94
ITGB5,0.063,0.54,0.94
JUP,-0.11,0.54,0.94
KAT5,-0.076,0.54,0.94
KBTBD11-OT1,1.6,0.54,0.94
KIF16B,0.082,0.54,0.94
KPTN,0.11,0.54,0.94
LARP6,-0.078,0.54,0.94
LY6G5B,0.15,0.54,0.94
MACIR,0.058,0.54,0.94
MANBA,0.094,0.54,0.94
MAPK6,0.062,0.54,0.94
MEPCE,0.054,0.54,0.94
MOV10,-0.076,0.54,0.94
MRM3,-0.066,0.54,0.94
MRPS28,-0.12,0.54,0.94
MST1,-0.13,0.54,0.94
MYO1A,-0.26,0.54,0.94
ONECUT2,-0.24,0.54,0.94
OSBPL7,-0.1,0.54,0.94
PCDHAC2,0.14,0.54,0.94
PCDHB6,0.31,0.54,0.94
PDGFA,-0.1,0.54,0.94
PEBP1,-0.053,0.54,0.94
PGBD1,-0.13,0.54,0.94
PGM1,-0.066,0.54,0.94
PHC1,0.095,0.54,0.94
PIAS2,0.085,0.54,0.94
POMP,0.068,0.54,0.94
PPARA,0.15,0.54,0.94
PPIE,-0.098,0.54,0.94
PPP2CB,0.054,0.54,0.94
PRSS3,-0.19,0.54,0.94
PSAP,-0.066,0.54,0.94
PTPRN,-0.26,0.54,0.94
PYGL,0.056,0.54,0.94
RAB42,0.34,0.54,0.94
RAP2C,-0.062,0.54,0.94
RIDA,0.078,0.54,0.94
RPSAP9,-0.38,0.54,0.94
SDF2L1,0.098,0.54,0.94
SDHAP1,0.099,0.54,0.94
SIAH2,-0.12,0.54,0.94
SLC5A10,-0.36,0.54,0.94
SMIM10L1,-0.064,0.54,0.94
SRSF2,-0.049,0.54,0.94
TANGO2,-0.07,0.54,0.94
TARBP2,-0.09,0.54,0.94
TAX1BP1,-0.075,0.54,0.94
TFAM,0.059,0.54,0.94
TFB2M,0.083,0.54,0.94
TFEC,-0.39,0.54,0.94
TMCC1,-0.089,0.54,0.94
TMEM33,0.062,0.54,0.94
TNNT1,-0.094,0.54,0.94
TSNAXIP1,0.28,0.54,0.94
TSPAN8,-0.55,0.54,0.94
TTC28,0.099,0.54,0.94
TTC39A,-0.15,0.54,0.94
TUB,-0.079,0.54,0.94
TXN2,-0.073,0.54,0.94
UBE2B,0.062,0.54,0.94
UQCC2,-0.078,0.54,0.94
USP45,0.091,0.54,0.94
USP51,-0.3,0.54,0.94
VAMP8,0.11,0.54,0.94
WDPCP,-0.082,0.54,0.94
WNT10B,-0.18,0.54,0.94
ZBED3,0.12,0.54,0.94
ZFP41,0.098,0.54,0.94
ZNF14,0.17,0.54,0.94
ZNF354B,0.099,0.54,0.94
ZNF484,0.12,0.54,0.94
ZNF530,-0.15,0.54,0.94
ZNF622,-0.063,0.54,0.94
ZNF708,0.16,0.54,0.94
ZNF845,-0.1,0.54,0.94
ABL2,-0.099,0.55,0.94
ARSL,-0.084,0.55,0.94
BAK1,0.069,0.55,0.94
COG3,-0.074,0.55,0.94
DDC,-0.16,0.55,0.94
description:lymphocyte-specific,0.079,0.55,0.94
description:vimentin,-0.18,0.55,0.94
DMC1,-0.18,0.55,0.94
DNAJB2,0.073,0.55,0.94
EED,-0.072,0.55,0.94
ELL3,0.21,0.55,0.94
ENTPD7,-0.095,0.55,0.94
FTCDNL1,-0.13,0.55,0.94
HUWE1,0.098,0.55,0.94
ID3,-0.076,0.55,0.94
KDM6A,-0.071,0.55,0.94
LRRC57,0.076,0.55,0.94
MFN2,-0.049,0.55,0.94
NCOA1,0.088,0.55,0.94
NDUFB5,0.055,0.55,0.94
RAB28,0.097,0.55,0.94
RILPL1,0.097,0.55,0.94
RNF2,-0.076,0.55,0.94
SARAF,-0.062,0.55,0.94
SIL1,-0.068,0.55,0.94
SLC25A44,0.078,0.55,0.94
SMG1P3,0.14,0.55,0.94
STRN4,0.049,0.55,0.94
STX10,0.066,0.55,0.94
TELO2,-0.079,0.55,0.94
TLCD5,-0.089,0.55,0.94
TNNC1,0.3,0.55,0.94
UROD,-0.092,0.55,0.94
ADAP1,0.15,0.55,0.95
ADIPOR1,-0.057,0.55,0.95
AFAP1L2,0.084,0.55,0.95
ALG1L13P,-0.24,0.55,0.95
AP1G2,-0.053,0.55,0.95
ARFRP1,0.069,0.55,0.95
ARHGDIA,0.089,0.55,0.95
BIRC6,0.1,0.55,0.95
BTC,0.12,0.55,0.95
CCDC92B,0.26,0.55,0.95
CLHC1,-0.14,0.55,0.95
CMTM4,-0.083,0.55,0.95
CNIH1,-0.053,0.55,0.95
CYBC1,0.064,0.55,0.95
DCAKD,-0.087,0.55,0.95
DDX51,-0.054,0.55,0.95
ERCC6L,-0.093,0.55,0.95
F2RL1,0.11,0.55,0.95
FAM98B,-0.071,0.55,0.95
GFM1,0.06,0.55,0.95
GIT1,0.064,0.55,0.95
GNPTG,0.071,0.55,0.95
GPS2,0.073,0.55,0.95
GTF2H3,-0.06,0.55,0.95
HLF,-0.19,0.55,0.95
HNRNPUL1,-0.061,0.55,0.95
HOXB9,-0.12,0.55,0.95
KANSL2,-0.064,0.55,0.95
KMT2B,0.091,0.55,0.95
LAMA2,0.28,0.55,0.95
LARP1,0.084,0.55,0.95
LAS1L,-0.07,0.55,0.95
MAPK7,0.096,0.55,0.95
MAPRE2,-0.098,0.55,0.95
MGLL,0.099,0.55,0.95
MRPL38,-0.069,0.55,0.95
MTPAP,-0.068,0.55,0.95
NBAS,0.078,0.55,0.95
NDUFC2-KCTD14,-0.33,0.55,0.95
NMRK1,-0.12,0.55,0.95
NOL6,0.056,0.55,0.95
NT5DC2,-0.078,0.55,0.95
OLFML2B,-0.36,0.55,0.95
ORC5,-0.062,0.55,0.95
PHEX,0.18,0.55,0.95
PIGH,0.089,0.55,0.95
PLA2G12A,-0.066,0.55,0.95
PLIN4,0.34,0.55,0.95
PNPLA2,0.11,0.55,0.95
PODXL,-0.15,0.55,0.95
POLR3B,-0.14,0.55,0.95
PPP1R14C,0.28,0.55,0.95
PPP1R2,-0.087,0.55,0.95
PRDM5,-0.1,0.55,0.95
PRPSAP1,0.061,0.55,0.95
RGL1,0.19,0.55,0.95
RNF157,0.12,0.55,0.95
RNF24,0.14,0.55,0.95
RPL23AP82,0.076,0.55,0.95
RPP30,-0.059,0.55,0.95
RPS14,0.077,0.55,0.95
RPS5,0.064,0.55,0.95
RUBCN,-0.12,0.55,0.95
SECISBP2L,0.06,0.55,0.95
SERAC1,0.12,0.55,0.95
SH2D4A,-0.069,0.55,0.95
SH3D19,-0.091,0.55,0.95
SLC29A2,-0.12,0.55,0.95
SLC38A7,0.08,0.55,0.95
SMIM31,0.38,0.55,0.95
SORD2P,0.28,0.55,0.95
STARD5,0.22,0.55,0.95
STON2,0.29,0.55,0.95
STRBP,0.073,0.55,0.95
SYNCRIP,0.062,0.55,0.95
TAF10,0.085,0.55,0.95
TBC1D16,0.087,0.55,0.95
TBC1D7,-0.071,0.55,0.95
TMC4,-0.18,0.55,0.95
TMEM201,-0.1,0.55,0.95
TMEM269,-0.3,0.55,0.95
TMEM94,-0.081,0.55,0.95
TRAK2,0.071,0.55,0.95
TTC7B,0.13,0.55,0.95
UBE3A,-0.054,0.55,0.95
VEGFA,0.06,0.55,0.95
WDR1,0.05,0.55,0.95
ZFAND4,0.13,0.55,0.95
ZNF285,-0.25,0.55,0.95
ZNF577,0.22,0.55,0.95
ABCA8,-0.34,0.56,0.95
ABCC5,-0.078,0.56,0.95
ACAD8,0.09,0.56,0.95
ACTA2,0.14,0.56,0.95
ADRA1D,-0.11,0.56,0.95
ANXA13,-0.11,0.56,0.95
APLP2,-0.05,0.56,0.95
APOBEC3D,0.26,0.56,0.95
ARHGAP11A-SCG5,-0.19,0.56,0.95
ARL6IP4,-0.081,0.56,0.95
ASCC2,0.06,0.56,0.95
BCL2,-0.21,0.56,0.95
BLOC1S1,-0.091,0.56,0.95
BMS1,-0.088,0.56,0.95
BROX,0.061,0.56,0.95
C5orf63,0.13,0.56,0.95
C6orf47,0.095,0.56,0.95
CAPN3,-0.3,0.56,0.95
CCDC127,0.064,0.56,0.95
CCT6A,-0.049,0.56,0.95
CCT7,-0.058,0.56,0.95
CDK2AP2,-0.071,0.56,0.95
CDPF1P1,-0.23,0.56,0.95
CMBL,-0.052,0.56,0.95
COL5A1,0.14,0.56,0.95
COPB1,0.049,0.56,0.95
CPEB3,0.31,0.56,0.95
CPQ,-0.17,0.56,0.95
CRLF1,-0.19,0.56,0.95
CTNND1,0.072,0.56,0.95
DAG1,0.081,0.56,0.95
DCTN1,0.062,0.56,0.95
description:leucine,-0.14,0.56,0.95
description:sorting,-0.16,0.56,0.95
ELAPOR1,0.18,0.56,0.95
ELMOD2,0.064,0.56,0.95
ERGIC3,-0.054,0.56,0.95
EXOC3,0.059,0.56,0.95
EXOC4,-0.058,0.56,0.95
FAM156B,-1.2,0.56,0.95
FAM86B1,-0.15,0.56,0.95
FAS,-0.065,0.56,0.95
FBXO11,0.061,0.56,0.95
FBXO48,0.13,0.56,0.95
FRS2,-0.072,0.56,0.95
FXR2,0.054,0.56,0.95
GMEB1,0.082,0.56,0.95
GNAS,-0.061,0.56,0.95
GOLGA6L4,0.22,0.56,0.95
GYS1,0.09,0.56,0.95
HBQ1,-0.22,0.56,0.95
HEXB,-0.047,0.56,0.95
HIGD2A,0.069,0.56,0.95
HYAL2,-0.077,0.56,0.95
IFITM3,0.14,0.56,0.95
IGFBP7,-0.1,0.56,0.95
IRAK4,-0.087,0.56,0.95
IRS2,-0.087,0.56,0.95
KCNG1,-0.11,0.56,0.95
KPNA5,0.083,0.56,0.95
KRCC1,-0.072,0.56,0.95
LATS1,0.081,0.56,0.95
LDLR,-0.058,0.56,0.95
LIMA1,0.15,0.56,0.95
LINC00888,-0.078,0.56,0.95
LMBR1L,0.095,0.56,0.95
MAMDC4,-0.15,0.56,0.95
MAN2B2,-0.076,0.56,0.95
MAP7D3,0.097,0.56,0.95
MARCHF10,0.35,0.56,0.95
MARCHF3,-0.27,0.56,0.95
MCEE,-0.15,0.56,0.95
MCRIP1,0.11,0.56,0.95
MET,0.067,0.56,0.95
MIB1,0.067,0.56,0.95
MRPS36,0.087,0.56,0.95
MT-CO2,0.16,0.56,0.95
MXD1,0.14,0.56,0.95
MYLIP,-0.1,0.56,0.95
NCL,-0.072,0.56,0.95
NCLN,0.065,0.56,0.95
NDE1,-0.065,0.56,0.95
NEURL4,-0.064,0.56,0.95
NOTCH2,0.079,0.56,0.95
NPIPB15,-0.13,0.56,0.95
NRP2,0.1,0.56,0.95
NT5DC1,-0.054,0.56,0.95
NUDT1,-0.081,0.56,0.95
NXT1,0.069,0.56,0.95
OCIAD1,-0.055,0.56,0.95
OXR1,0.076,0.56,0.95
P2RX6,0.15,0.56,0.95
PCDH10,-0.4,0.56,0.95
PCDHA1,0.32,0.56,0.95
POLR2F,-0.065,0.56,0.95
PPP1R9A,0.093,0.56,0.95
PSMB10,0.093,0.56,0.95
PTK6,0.18,0.56,0.95
RBPMS2,0.15,0.56,0.95
RGL2,0.068,0.56,0.95
RPL11,0.074,0.56,0.95
RPS6KB2,-0.064,0.56,0.95
RPSAP58,0.28,0.56,0.95
RUSC1,-0.052,0.56,0.95
SLC49A4,-0.076,0.56,0.95
THAP7,-0.08,0.56,0.95
TMEM106A,0.19,0.56,0.95
TMEM120B,0.085,0.56,0.95
TMEM17,-0.086,0.56,0.95
TMEM181,0.067,0.56,0.95
TRAF3IP1,-0.091,0.56,0.95
TRIQK,0.072,0.56,0.95
TSEN54,-0.076,0.56,0.95
TSFM,-0.07,0.56,0.95
TTBK2,0.11,0.56,0.95
TTC39B,0.12,0.56,0.95
TTPA,0.22,0.56,0.95
TUSC3,-0.052,0.56,0.95
UBE2Q2P2,0.19,0.56,0.95
UQCRB,0.11,0.56,0.95
USP27X,0.17,0.56,0.95
VPS8,0.079,0.56,0.95
YPEL3,0.13,0.56,0.95
ZBTB37,0.12,0.56,0.95
ZBTB38,-0.069,0.56,0.95
ZDHHC4,-0.055,0.56,0.95
ZKSCAN5,-0.084,0.56,0.95
ZNF174,0.089,0.56,0.95
ZNF264,0.087,0.56,0.95
ZNF304,-0.16,0.56,0.95
ZNF653,-0.12,0.56,0.95
ZNF655,0.061,0.56,0.95
ZNF699,-0.19,0.56,0.95
ZNF704,-0.23,0.56,0.95
ZNRD1ASP,-0.14,0.56,0.95
ZSCAN20,-0.13,0.56,0.95
ZYG11A,0.13,0.56,0.95
ADAMTS15,0.11,0.57,0.95
ADAMTSL3,-0.15,0.57,0.95
ANKRD26,0.078,0.57,0.95
ANKRD42,-0.11,0.57,0.95
AOPEP,0.07,0.57,0.95
AP3S2,-0.067,0.57,0.95
APLF,0.17,0.57,0.95
ARFGEF1,0.074,0.57,0.95
ASPSCR1,-0.072,0.57,0.95
ATL2,0.058,0.57,0.95
BAG2,0.064,0.57,0.95
BCDIN3D,0.13,0.57,0.95
CAPNS1,-0.051,0.57,0.95
CCDC14,-0.062,0.57,0.95
CCDC57,0.078,0.57,0.95
CDHR3,-0.14,0.57,0.95
CDKN2AIP,-0.084,0.57,0.95
CGN,-0.12,0.57,0.95
CHAC1,-0.19,0.57,0.95
CHCHD2,-0.069,0.57,0.95
CKMT1A,-0.15,0.57,0.95
COMMD5,0.091,0.57,0.95
CRIP1,-0.1,0.57,0.95
CYP39A1,0.36,0.57,0.95
description:SMAD,0.23,0.57,0.95
DIAPH1,-0.08,0.57,0.95
DOCK10,-0.069,0.57,0.95
EDA2R,0.066,0.57,0.95
FBXO17,-0.059,0.57,0.95
FFAR4,-0.25,0.57,0.95
FGF18,-0.39,0.57,0.95
GRIN2B,-0.11,0.57,0.95
H2AC17,-0.28,0.57,0.95
HAND2,0.27,0.57,0.95
HMGB1P5,-0.28,0.57,0.95
HMGCL,-0.07,0.57,0.95
HMGXB4,0.076,0.57,0.95
HNF1B,-0.093,0.57,0.95
HNRNPK,0.054,0.57,0.95
HYLS1,-0.081,0.57,0.95
IFT80,-0.073,0.57,0.95
KCNS3,-0.21,0.57,0.95
KRT80,-0.15,0.57,0.95
LAMTOR1,-0.06,0.57,0.95
LIMCH1,-0.083,0.57,0.95
LRRFIP1P1,0.25,0.57,0.95
"7,00 LSM",0.1,0.57,0.95
MAP1LC3C,0.26,0.57,0.95
MAPK12,0.076,0.57,0.95
MARCHF5,-0.055,0.57,0.95
MKS1,-0.096,0.57,0.95
MUL1,-0.06,0.57,0.95
MYL12B,-0.047,0.57,0.95
MYO15B,-0.089,0.57,0.95
MZT2B,0.1,0.57,0.95
NAA35,0.06,0.57,0.95
NEDD8,0.055,0.57,0.95
NFYB,0.074,0.57,0.95
NKPD1,0.33,0.57,0.95
NME2,0.076,0.57,0.95
NMT1,-0.061,0.57,0.95
NNAT,-0.23,0.57,0.95
NUP58,-0.071,0.57,0.95
NUTM2B,-0.34,0.57,0.95
OSMR,0.065,0.57,0.95
P3H3,-0.09,0.57,0.95
PABPC1L,0.07,0.57,0.95
PCIF1,0.058,0.57,0.95
PCNT,0.063,0.57,0.95
PDE11A,0.18,0.57,0.95
PLEKHG4,-0.073,0.57,0.95
POLL,0.074,0.57,0.95
PPFIA4,0.24,0.57,0.95
PRDM13,0.17,0.57,0.95
PRIMPOL,-0.1,0.57,0.95
PRKAA1,0.051,0.57,0.95
PRKACA,0.071,0.57,0.95
PSENEN,0.05,0.57,0.95
PSMA6,0.11,0.57,0.95
PSMD8,-0.054,0.57,0.95
PTENP1,-0.15,0.57,0.95
PTH1R,0.33,0.57,0.95
PTS,-0.093,0.57,0.95
PUSL1,-0.11,0.57,0.95
RBM20,-0.15,0.57,0.95
REST,-0.073,0.57,0.95
RNF128,-0.31,0.57,0.95
RNF220,0.054,0.57,0.95
RPS6KL1,0.19,0.57,0.95
RRN3P3,-0.13,0.57,0.95
RTN4R,0.18,0.57,0.95
SCFD1,0.061,0.57,0.95
SCRIB,0.065,0.57,0.95
SDHAF4,-0.12,0.57,0.95
SEC61G,0.074,0.57,0.95
SEPTIN6,-0.1,0.57,0.95
SGPL1,0.045,0.57,0.95
SH3RF1,-0.085,0.57,0.95
SLFN13,-0.14,0.57,0.95
SOCS1,-0.42,0.57,0.95
SP6,-0.16,0.57,0.95
SPECC1L-ADORA2A,0.9,0.57,0.95
SPIN4,0.081,0.57,0.95
SPTLC1,-0.062,0.57,0.95
TAB1,0.063,0.57,0.95
TEC,0.16,0.57,0.95
THOC5,0.062,0.57,0.95
TLK1,0.059,0.57,0.95
TLNRD1,0.066,0.57,0.95
TMEM209,0.074,0.57,0.95
TMEM248,-0.054,0.57,0.95
TMEM251,0.087,0.57,0.95
TMOD1,-0.3,0.57,0.95
TMX2,0.058,0.57,0.95
TNFRSF12A,0.058,0.57,0.95
TOR1AIP1,-0.046,0.57,0.95
TUBG2,0.082,0.57,0.95
UCHL1,-0.041,0.57,0.95
UCK2,-0.053,0.57,0.95
URM1,0.058,0.57,0.95
VAX1,0.29,0.57,0.95
VPS11,-0.084,0.57,0.95
WDR74,0.061,0.57,0.95
WHAMMP2,0.085,0.57,0.95
YY1AP1,0.065,0.57,0.95
ZNF224,0.093,0.57,0.95
ZNF227,0.086,0.57,0.95
ZNF252P,0.08,0.57,0.95
ZNF554,0.18,0.57,0.95
ZNF595,-0.083,0.57,0.95
ZNF79,-0.13,0.57,0.95
ACBD7,-0.15,0.58,0.95
ACOT8,0.082,0.58,0.95
ADGRD1,-0.27,0.58,0.95
ALPK1,-0.088,0.58,0.95
ANAPC5,-0.047,0.58,0.95
AP4B1,-0.12,0.58,0.95
AP5Z1,0.082,0.58,0.95
APOBEC3A,0.28,0.58,0.95
"3,00 ARL",-0.076,0.58,0.95
ARPC3,-0.047,0.58,0.95
ASB13,-0.071,0.58,0.95
BAG4,-0.066,0.58,0.95
BMP7,-0.16,0.58,0.95
BNIP1,-0.11,0.58,0.95
BORCS7,0.082,0.58,0.95
BRD3OS,-0.076,0.58,0.95
C1orf50,0.13,0.58,0.95
C8orf48,-0.22,0.58,0.95
CBR4,0.075,0.58,0.95
CDC27,-0.052,0.58,0.95
CFAP92,-0.27,0.58,0.95
CHMP1A,0.053,0.58,0.95
CLCN2,0.12,0.58,0.95
CMC1,-0.055,0.58,0.95
CNOT2,-0.06,0.58,0.95
COMMD3-BMI1,-0.39,0.58,0.95
CRB3,-0.11,0.58,0.95
CSNK2B,-0.073,0.58,0.95
CTR9,0.066,0.58,0.95
DCXR,0.081,0.58,0.95
description:forkhead,-0.3,0.58,0.95
"description:RNA,",0.35,0.58,0.95
description:SCAN,-0.24,0.58,0.95
DHRS7,0.067,0.58,0.95
DKC1,-0.072,0.58,0.95
DNAH14,-0.1,0.58,0.95
DOP1B,0.13,0.58,0.95
DST,-0.099,0.58,0.95
DTD1,-0.055,0.58,0.95
DUXAP10,0.054,0.58,0.95
EAF2,-0.2,0.58,0.95
EID2,0.072,0.58,0.95
ENTR1,-0.05,0.58,0.95
EPC1,-0.083,0.58,0.95
FAM50A,0.05,0.58,0.95
FAM86B2,-0.32,0.58,0.95
GAPDHS,-0.19,0.58,0.95
GBP5,-0.27,0.58,0.95
GLIPR1L2,-0.22,0.58,0.95
GNB4,0.057,0.58,0.95
GOLGA5,0.052,0.58,0.95
GRAMD4,0.081,0.58,0.95
HAUS3,0.072,0.58,0.95
HDDC3,-0.068,0.58,0.95
HMGN1,-0.046,0.58,0.95
HPD,0.24,0.58,0.95
HSD11B1L,0.16,0.58,0.95
HTT,0.072,0.58,0.95
IFT27,-0.095,0.58,0.95
JRK,-0.066,0.58,0.95
KCNJ16,0.18,0.58,0.95
KLHDC2,-0.1,0.58,0.95
KRT81,0.067,0.58,0.95
LAMB4,0.22,0.58,0.95
LLPH,-0.052,0.58,0.95
LMAN2,-0.054,0.58,0.95
LMF2,-0.058,0.58,0.95
ME2,-0.06,0.58,0.95
MKKS,-0.074,0.58,0.95
MMS19,0.055,0.58,0.95
MRPL2,0.071,0.58,0.95
MRPL22,-0.068,0.58,0.95
MRPL48,-0.071,0.58,0.95
MRTFB,0.073,0.58,0.95
MTERF4,-0.078,0.58,0.95
MYPOP,-0.12,0.58,0.95
NADK2,0.065,0.58,0.95
NCOA4,0.05,0.58,0.95
NLGN3,-0.17,0.58,0.95
NLRP2,-0.057,0.58,0.95
NME6,0.074,0.58,0.95
NR2C1,-0.06,0.58,0.95
PALS2,0.091,0.58,0.95
PARM1,-0.23,0.58,0.95
POLB,0.077,0.58,0.95
POU2F1,-0.098,0.58,0.95
PPIH,-0.073,0.58,0.95
PPP1R15A,0.067,0.58,0.95
PUS7L,0.08,0.58,0.95
PYCR2,-0.05,0.58,0.95
RAD23A,-0.063,0.58,0.95
RBBP6,-0.048,0.58,0.95
RBIS,0.12,0.58,0.95
SAR1B,-0.048,0.58,0.95
SCN8A,-0.096,0.58,0.95
SCO1,-0.045,0.58,0.95
SENP5,-0.078,0.58,0.95
SH3BGRL2,0.18,0.58,0.95
SLC39A13,0.061,0.58,0.95
SLC9A7,-0.1,0.58,0.95
SMIM3,0.13,0.58,0.95
SMURF2P1,0.27,0.58,0.95
SPOCK2,-0.18,0.58,0.95
SPTLC2,0.084,0.58,0.95
SRP68,-0.064,0.58,0.95
STK38,0.08,0.58,0.95
THAP4,0.053,0.58,0.95
TMEM120A,-0.071,0.58,0.95
TMEM167A,-0.055,0.58,0.95
TRIM32,-0.073,0.58,0.95
TRIM38,0.092,0.58,0.95
TSSC2,-0.23,0.58,0.95
TTC30B,0.082,0.58,0.95
USP15,0.069,0.58,0.95
ZC3H6,-0.13,0.58,0.95
ZCCHC3,0.052,0.58,0.95
ZDHHC8P1,-0.14,0.58,0.95
ZFPM2,-0.23,0.58,0.95
ZNF131,0.054,0.58,0.95
ZNF268,-0.072,0.58,0.95
ZNF300,-0.14,0.58,0.95
ZNF605,0.098,0.58,0.95
ZNF658,-0.12,0.58,0.95
ZNF688,0.098,0.58,0.95
ZNF707,0.1,0.58,0.95
ZNF761,-0.092,0.58,0.95
ZNF764,-0.1,0.58,0.95
ZNF799,0.17,0.58,0.95
ZNHIT3,-0.098,0.58,0.95
ABHD14B,-0.077,0.59,0.95
ACOX1,0.069,0.59,0.95
AKT3,0.06,0.59,0.95
ALDH18A1,-0.062,0.59,0.95
ALOX5,0.35,0.59,0.95
ALS2,0.06,0.59,0.95
AMPD2,-0.062,0.59,0.95
ANKRD20A3P,-0.29,0.59,0.95
ARID5A,0.14,0.59,0.95
"2,00 ARL",0.054,0.59,0.95
ARMC6,0.076,0.59,0.95
ASAH2,-0.24,0.59,0.95
ATRAID,-0.076,0.59,0.95
BCAM,-0.07,0.59,0.95
BNC2,0.099,0.59,0.95
BORCS5,0.12,0.59,0.95
BTF3,0.048,0.59,0.95
BTN2A1,-0.062,0.59,0.95
C4orf36,0.4,0.59,0.95
CAMKMT,0.1,0.59,0.95
CATSPER2P1,0.22,0.59,0.95
CCDC28A,-0.11,0.59,0.95
CCNYL1,0.06,0.59,0.95
CEACAM19,-0.11,0.59,0.95
CEBPZ,-0.066,0.59,0.95
CEND1,0.28,0.59,0.95
CERS1,0.19,0.59,0.95
CNBD2,0.21,0.59,0.95
CNTROB,-0.054,0.59,0.95
COMMD6,0.11,0.59,0.95
CREB3L4,-0.089,0.59,0.95
DDX3Y,0.084,0.59,0.95
"description:glucuronidase,",0.11,0.59,0.95
DESI1,0.061,0.59,0.95
DLL3,0.1,0.59,0.95
DNAJB14,0.058,0.59,0.95
DNPH1,0.076,0.59,0.95
DPYD,0.14,0.59,0.95
DUSP12,0.078,0.59,0.95
ECHDC3,0.1,0.59,0.95
EEF2K,0.077,0.59,0.95
EFEMP2,0.2,0.59,0.95
EHD1,0.078,0.59,0.95
EIF5A,0.05,0.59,0.95
ELOC,0.059,0.59,0.95
ELP2,0.06,0.59,0.95
EMC7,-0.044,0.59,0.95
ERVMER34-1,0.27,0.59,0.95
EYA4,0.077,0.59,0.95
F8,0.085,0.59,0.95
FAM86B3P,0.14,0.59,0.95
FARSA,0.051,0.59,0.95
FBXW5,0.069,0.59,0.95
FLII,0.06,0.59,0.95
GATAD1,0.06,0.59,0.95
GEM,-0.14,0.59,0.95
GOPC,0.072,0.59,0.95
GRIP1,0.17,0.59,0.95
GSTA1,0.26,0.59,0.95
H2AW,0.13,0.59,0.95
HERC4,-0.061,0.59,0.95
INTS2,0.06,0.59,0.95
INTU,-0.12,0.59,0.95
ITGA7,0.085,0.59,0.95
ITGB2,0.19,0.59,0.95
ITIH2,-0.26,0.59,0.95
JADE3,-0.072,0.59,0.95
KLHL33,-0.27,0.59,0.95
LHPP,0.084,0.59,0.95
LMTK2,0.065,0.59,0.95
LYRM9,-0.15,0.59,0.95
MAGI3,-0.11,0.59,0.95
MAP2K5,-0.083,0.59,0.95
MCC,0.23,0.59,0.95
MGAT5,-0.1,0.59,0.95
MIEF1,-0.057,0.59,0.95
MOCOS,-0.097,0.59,0.95
MORN1,0.088,0.59,0.95
NHLRC2,-0.05,0.59,0.95
NIT2,0.061,0.59,0.95
NKIRAS1,-0.073,0.59,0.95
NKTR,-0.071,0.59,0.95
NLRX1,0.064,0.59,0.95
NUFIP2,0.059,0.59,0.95
OGFOD3,-0.056,0.59,0.95
PCM1,0.06,0.59,0.95
PDPK2P,0.17,0.59,0.95
PEX5,0.052,0.59,0.95
PHGDH,-0.06,0.59,0.95
PHOSPHO2,-0.15,0.59,0.95
POM121C,0.067,0.59,0.95
POMGNT1,-0.048,0.59,0.95
PPCS,0.062,0.59,0.95
PRSS27,0.2,0.59,0.95
PSMB9,-0.1,0.59,0.95
RAB11FIP2,0.061,0.59,0.95
RAB13,0.063,0.59,0.95
RAB43,0.19,0.59,0.95
RALBP1,0.05,0.59,0.95
RARS2,-0.069,0.59,0.95
RCOR2,-0.26,0.59,0.95
RDX,0.076,0.59,0.95
RGS9,0.084,0.59,0.95
RNASEH1,-0.043,0.59,0.95
RNF20,-0.092,0.59,0.95
RNF40,0.064,0.59,0.95
RPF1,-0.058,0.59,0.95
RPL10,0.072,0.59,0.95
RPL17,0.076,0.59,0.95
RSAD1,0.072,0.59,0.95
RTF1,-0.068,0.59,0.95
RTN4RL1,0.2,0.59,0.95
RYR1,-0.098,0.59,0.95
SBF2,0.067,0.59,0.95
SERP1,-0.052,0.59,0.95
SH2B1,0.054,0.59,0.95
SHOX2,-0.16,0.59,0.95
SLC25A38,-0.061,0.59,0.95
SMARCE1,-0.051,0.59,0.95
SNX32,-0.28,0.59,0.95
SPCS1,-0.056,0.59,0.95
SPECC1L,0.096,0.59,0.95
SPOCK1,-0.15,0.59,0.95
SRD5A1,-0.058,0.59,0.95
STAG1,0.063,0.59,0.95
STK24,-0.069,0.59,0.95
SUCO,-0.053,0.59,0.95
SUPT3H,0.15,0.59,0.95
TAPBPL,-0.11,0.59,0.95
THADA,0.047,0.59,0.95
TMEM39B,-0.13,0.59,0.95
TNFAIP8L1,-0.08,0.59,0.95
